Food code,Seq num,Portion code,Portion weight,Start date,End date
11411390,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411390,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411390,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411390,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411390,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411400,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411400,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411400,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411400,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411400,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411410,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411410,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411410,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411410,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411410,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411420,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411420,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411420,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11411420,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411420,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11430000,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11430000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11430000,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11430000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11430000,10,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11431000,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11431000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11431000,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11431000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11431000,8,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,1,64066,64,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,2,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,3,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,4,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,5,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11432000,12,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11433000,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11433000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11433000,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11433000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11433000,8,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11433990,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11433990,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11433990,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11433990,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11433990,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434000,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
